veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat,_OBSTAT_
2.17,0.536618754,0,0,0,SEDAN,2,F,A,4,01101    0    0    0
0.87,0.854209446,0,0,0,HBACK,3,M,D,3,01101    0    0    0
4.09,0.848733744,0,0,0,UTE,1,M,A,2,01101    0    0    0
1.31,0.405201917,0,0,0,HBACK,2,M,C,1,01101    0    0    0
1.9,0.854209446,0,0,0,SEDAN,1,F,A,4,01101    0    0    0
2.42,0.577686516,0,0,0,SEDAN,1,F,A,4,01101    0    0    0
1.05,0.421629021,0,0,0,HDTOP,4,F,C,6,01101    0    0    0
1.42,0.594113621,0,0,0,TRUCK,3,M,D,4,01101    0    0    0
3,0.854209446,0,0,0,STNWG,3,M,B,3,01101    0    0    0
1.89,0.654346338,1,2,1811.709997,STNWG,3,M,F,2,01101    0    0    0
2.61,0.251882272,0,0,0,STNWG,2,M,B,4,01101    0    0    0
0.93,0.536618754,0,0,0,COUPE,4,F,A,4,01101    0    0    0
1.49,0.405201917,0,0,0,HBACK,2,F,C,2,01101    0    0    0
3.1,0.462696783,0,0,0,HDTOP,1,F,C,3,01101    0    0    0
1.94,0.536618754,0,0,0,SEDAN,1,M,A,6,01101    0    0    0
2.234,0.854209446,0,0,0,SEDAN,1,M,C,2,01101    0    0    0
1.62,0.854209446,0,0,0,SEDAN,2,F,B,4,01101    0    0    0
2.14,0.536618754,0,0,0,HDTOP,3,M,D,4,01101    0    0    0
1.77,0.249144422,0,0,0,HBACK,2,F,E,1,01101    0    0    0
4.03,0.462696783,0,0,0,STNWG,1,M,F,2,01101    0    0    0
2.65,0.095824778,0,0,0,SEDAN,1,F,C,3,01101    0    0    0
1.13,0.303901437,0,0,0,STNWG,4,M,A,1,01101    0    0    0
1.53,0.169746749,0,0,0,SEDAN,3,F,D,3,01101    0    0    0
1.05,0.906228611,0,0,0,HBACK,2,F,F,3,01101    0    0    0
0.88,0.536618754,0,0,0,COUPE,4,M,B,4,01101    0    0    0
2.9,0.854209446,0,0,0,STNWG,3,M,B,5,01101    0    0    0
2.67,0.536618754,0,0,0,HBACK,1,F,A,2,01101    0    0    0
0.83,0.344969199,0,0,0,SEDAN,4,M,C,5,01101    0    0    0
0.7,0.249144422,0,0,0,SEDAN,4,F,C,1,01101    0    0    0
1.15,0.906228611,0,0,0,STNWG,3,F,A,3,01101    0    0    0
0.99,0.317590691,0,0,0,HBACK,3,F,B,3,01101    0    0    0
1.75,0.971937029,0,0,0,SEDAN,2,F,B,2,01101    0    0    0
2.65,0.095824778,0,0,0,SEDAN,1,F,C,3,01101    0    0    0
4.06,0.851471595,1,1,5434.439987,STNWG,2,M,F,3,01101    0    0    0
1.39,0.317590691,1,1,865.789999,HBACK,3,F,A,4,01101    0    0    0
1.19,0.906228611,0,0,0,HBACK,2,F,B,5,01101    0    0    0
1.19,0.906228611,0,0,0,HBACK,2,F,A,1,01101    0    0    0
0.79,0.353182752,0,0,0,HBACK,3,F,B,2,01101    0    0    0
1.74,0.854209446,0,0,0,HBACK,2,F,C,3,01101    0    0    0
0.77,0.093086927,0,0,0,COUPE,4,M,C,2,01101    0    0    0
2.58,0.030116359,0,0,0,HBACK,2,M,A,5,01101    0    0    0
0.79,0.030116359,0,0,0,SEDAN,3,F,E,3,01101    0    0    0
1.79,0.673511294,0,0,0,UTE,4,F,E,3,01101    0    0    0
1.79,0.046543463,0,0,0,HBACK,1,M,C,6,01101    0    0    0
1.9,0.854209446,0,0,0,HBACK,1,M,C,1,01101    0    0    0
1.84,0.095824778,0,0,0,STNWG,4,M,A,3,01101    0    0    0
0.39,0.030116359,0,0,0,HBACK,4,F,B,4,01101    0    0    0
5.39,0.024640657,0,0,0,STNWG,2,M,A,5,01101    0    0    0
1.43,0.030116359,0,0,0,SEDAN,2,F,B,4,01101    0    0    0
2.33,0.229979466,0,0,0,MIBUS,3,F,C,3,01101    0    0    0
3.68,0.34770705,0,0,0,UTE,1,F,E,2,01101    0    0    0
3.43,0.317590691,0,0,0,STNWG,2,F,D,2,01101    0    0    0
1.13,0.229979466,0,0,0,SEDAN,3,M,A,3,01101    0    0    0
2.65,0.317590691,0,0,0,HDTOP,3,M,F,5,01101    0    0    0
1.98,0.229979466,0,0,0,UTE,3,M,A,2,01101    0    0    0
0.68,0.249144422,0,0,0,HBACK,3,F,E,3,01101    0    0    0
1.15,0.665297741,0,0,0,SEDAN,3,M,C,4,01101    0    0    0
3.19,0.999315537,0,0,0,HDTOP,3,M,F,4,01101    0    0    0
1.14,0.344969199,0,0,0,SEDAN,3,M,C,4,01101    0    0    0
1.43,0.219028063,0,0,0,SEDAN,2,F,C,4,01101    0    0    0
1.22,0.777549624,0,0,0,HDTOP,4,F,D,2,01101    0    0    0
1.75,0.24366872,0,0,0,SEDAN,2,M,A,4,01101    0    0    0
0.38,0.750171116,0,0,0,HBACK,4,F,A,2,01101    0    0    0
4.7,0.232717317,0,0,0,STNWG,2,M,D,2,01101    0    0    0
2.66,0.317590691,1,1,1105.769999,STNWG,1,F,F,5,01101    0    0    0
1.59,0.229979466,0,0,0,SEDAN,1,F,A,1,01101    0    0    0
0.54,0.027378508,0,0,0,SEDAN,4,M,A,4,01101    0    0    0
0.5,0.071184121,1,1,200,HBACK,4,F,A,5,01101    0    0    0
1.3,0.229979466,0,0,0,HBACK,2,F,B,1,01101    0    0    0
1.41,0.027378508,0,0,0,HBACK,2,F,C,4,01101    0    0    0
1.75,0.317590691,0,0,0,HBACK,2,F,B,4,01101    0    0    0
2.29,0.030116359,0,0,0,UTE,2,M,C,2,01101    0    0    0
4.64,0.221765914,0,0,0,STNWG,1,F,D,3,01101    0    0    0
0.8,0.27652293,0,0,0,HBACK,3,M,C,6,01101    0    0    0
3.55,0.851471595,0,0,0,STNWG,2,F,C,3,01101    0    0    0
1.75,0.317590691,0,0,0,HBACK,2,M,A,3,01101    0    0    0
1.48,0.6954141,0,0,0,HBACK,2,F,B,2,01101    0    0    0
1.22,0.394250513,0,0,0,HBACK,3,M,C,3,01101    0    0    0
3.14,0.306639288,0,0,0,UTE,2,F,A,2,01101    0    0    0
1.51,0.317590691,0,0,0,STNWG,4,M,A,4,01101    0    0    0
1.65,0.722792608,0,0,0,SEDAN,3,M,C,4,01101    0    0    0
1.64,0.317590691,0,0,0,UTE,2,M,C,4,01101    0    0    0
2.17,0.344969199,0,0,0,STNWG,3,F,F,5,01101    0    0    0
1.31,0.317590691,0,0,0,HBACK,2,M,B,2,01101    0    0    0
1.16,0.596851472,1,2,739.2299995,STNWG,4,F,B,2,01101    0    0    0
0.77,0.878850103,0,0,0,SEDAN,4,F,C,5,01101    0    0    0
0.43,0.317590691,0,0,0,HBACK,4,F,B,3,01101    0    0    0
4.98,0.722792608,0,0,0,STNWG,1,M,F,5,01101    0    0    0
1.72,0.906228611,0,0,0,SEDAN,2,F,D,6,01101    0    0    0
2.47,0.670773443,0,0,0,HDTOP,3,M,D,2,01101    0    0    0
4.17,0.722792608,0,0,0,STNWG,2,F,C,2,01101    0    0    0
1.13,0.229979466,0,0,0,SEDAN,3,M,B,6,01101    0    0    0
0.67,0.027378508,0,0,0,HBACK,4,F,A,5,01101    0    0    0
3.56,0.906228611,1,1,3230.599999,MCARA,3,M,F,4,01101    0    0    0
2.56,0.317590691,0,0,0,STNWG,2,F,A,3,01101    0    0    0
1.36,0.229979466,0,0,0,HBACK,1,F,C,5,01101    0    0    0
3.999,0.999315537,0,0,0,SEDAN,1,M,C,1,01101    0    0    0
1.64,0.090349076,0,0,0,HBACK,2,F,A,4,01101    0    0    0
2.15,0.654346338,1,1,200,SEDAN,3,F,A,5,01101    0    0    0
0.89,0.229979466,0,0,0,HBACK,3,M,C,2,01101    0    0    0
3.03,0.90349076,1,1,200,TRUCK,1,M,C,1,01101    0    0    0
2.41,0.339493498,1,1,407.8399997,STNWG,3,M,E,1,01101    0    0    0
0.73,0.769336071,0,0,0,SEDAN,4,M,E,5,01101    0    0    0
0.82,0.462696783,0,0,0,HDTOP,4,F,F,1,01101    0    0    0
1.39,0.093086927,0,0,0,SEDAN,3,M,A,2,01101    0    0    0
2.54,0.344969199,0,0,0,HDTOP,3,M,C,5,01101    0    0    0
0.76,0.344969199,0,0,0,SEDAN,4,M,D,3,01101    0    0    0
0.41,0.229979466,0,0,0,HBACK,4,M,A,5,01101    0    0    0
3.599,0.583162218,0,0,0,STNWG,1,F,B,3,01101    0    0    0
1.98,0.306639288,0,0,0,SEDAN,3,F,A,3,01101    0    0    0
0.76,0.229979466,0,0,0,SEDAN,4,F,A,3,01101    0    0    0
0.53,0.229979466,0,0,0,HBACK,4,F,B,3,01101    0    0    0
1.86,0.344969199,0,0,0,STNWG,2,F,B,4,01101    0    0    0
0.22,0.292950034,0,0,0,HBACK,4,M,C,6,01101    0    0    0
1.65,0.722792608,0,0,0,SEDAN,3,F,F,3,01101    0    0    0
1.33,0.224503765,0,0,0,HBACK,3,F,A,6,01101    0    0    0
0.85,0.306639288,0,0,0,HBACK,3,F,A,3,01101    0    0    0
1.97,0.616016427,0,0,0,STNWG,3,M,D,5,01101    0    0    0
1.15,0.019164956,0,0,0,HBACK,4,F,A,4,01101    0    0    0
2.65,0.290212183,0,0,0,SEDAN,1,M,A,5,01101    0    0    0
0.45,0.616016427,0,0,0,HBACK,4,F,B,6,01101    0    0    0
0.45,0.616016427,0,0,0,HBACK,4,F,A,6,01101    0    0    0
0.67,0.616016427,0,0,0,SEDAN,4,F,D,5,01101    0    0    0
1.3,0.648870637,0,0,0,HBACK,2,F,C,5,01101    0    0    0
0.59,0.616016427,0,0,0,COUPE,4,F,A,4,01101    0    0    0
1.55,0.616016427,0,0,0,SEDAN,2,F,E,5,01101    0    0    0
1.56,0.246406571,0,0,0,SEDAN,1,F,D,5,01101    0    0    0
0.41,0.616016427,0,0,0,SEDAN,4,F,A,5,01101    0    0    0
1.72,0.646132786,0,0,0,SEDAN,2,F,B,6,01101    0    0    0
0.44,0.616016427,0,0,0,SEDAN,4,M,D,6,01101    0    0    0
2.58,0.616016427,0,0,0,STNWG,3,M,D,6,01101    0    0    0
1.84,0.229979466,0,0,0,PANVN,1,M,C,3,01101    0    0    0
0.22,0.616016427,0,0,0,HBACK,4,F,B,5,01101    0    0    0
1.72,0.616016427,1,1,1619.829998,STNWG,2,F,A,6,01101    0    0    0
3.05,0.229979466,0,0,0,STNWG,2,F,F,2,01101    0    0    0
1.85,0.336755647,0,0,0,SEDAN,1,F,D,5,01101    0    0    0
3.21,0.616016427,0,0,0,STNWG,1,M,B,4,01101    0    0    0
0.89,0.616016427,0,0,0,STNWG,4,M,C,6,01101    0    0    0
1.98,0.38329911,0,0,0,SEDAN,2,M,A,2,01101    0    0    0
0.52,0.38329911,0,0,0,SEDAN,4,F,A,6,01101    0    0    0
1.92,0.616016427,1,1,1010.919998,STNWG,4,M,A,5,01101    0    0    0
1.15,0.616016427,0,0,0,HBACK,3,F,C,2,01101    0    0    0
0.5,0.616016427,0,0,0,STNWG,4,F,C,3,01101    0    0    0
6.54,0.229979466,0,0,0,STNWG,1,F,D,4,01101    0    0    0
5.14,0.616016427,0,0,0,STNWG,1,M,B,6,01101    0    0    0
0.67,0.616016427,0,0,0,SEDAN,4,F,C,4,01101    0    0    0
1.39,0.38329911,0,0,0,SEDAN,3,M,C,2,01101    0    0    0
4.65,0.38329911,0,0,0,STNWG,1,F,E,3,01101    0    0    0
1.43,0.38329911,0,0,0,SEDAN,3,F,D,2,01101    0    0    0
0.43,0.38329911,0,0,0,SEDAN,4,F,C,2,01101    0    0    0
1.02,0.618754278,0,0,0,SEDAN,3,F,B,5,01101    0    0    0
1.51,0.17522245,0,0,0,SEDAN,3,F,B,2,01101    0    0    0
2.649,0.257357974,1,1,9424.349976,TRUCK,1,M,A,1,01101    0    0    0
1.31,0.616016427,0,0,0,STNWG,4,M,D,3,01101    0    0    0
2.48,0.424366872,0,0,0,STNWG,3,M,C,1,01101    0    0    0
1.74,0.257357974,0,0,0,SEDAN,2,F,A,2,01101    0    0    0
1.62,0.093086927,0,0,0,STNWG,4,F,F,3,01101    0    0    0
5.43,0.616016427,0,0,0,STNWG,1,F,C,3,01101    0    0    0
0.65,0.616016427,0,0,0,SEDAN,4,M,A,4,01101    0    0    0
0.35,0.616016427,0,0,0,SEDAN,4,M,E,5,01101    0    0    0
3.73,0.616016427,0,0,0,STNWG,2,M,A,5,01101    0    0    0
1.61,0.344969199,0,0,0,SEDAN,2,F,C,4,01101    0    0    0
0.82,0.616016427,0,0,0,HBACK,4,F,A,6,01101    0    0    0
1.33,0.616016427,0,0,0,TRUCK,4,M,F,1,01101    0    0    0
0.78,0.342231348,0,0,0,HBACK,3,F,C,4,01101    0    0    0
3.98,0.616016427,0,0,0,STNWG,2,F,C,2,01101    0    0    0
0.95,0.616016427,0,0,0,HDTOP,4,M,A,6,01101    0    0    0
1.14,0.38329911,0,0,0,SEDAN,4,F,B,3,01101    0    0    0
0.53,0.616016427,0,0,0,SEDAN,4,F,D,5,01101    0    0    0
1.5,0.616016427,0,0,0,STNWG,4,M,A,3,01101    0    0    0
1.76,0.616016427,0,0,0,STNWG,2,M,C,3,01101    0    0    0
1,0.314852841,0,0,0,HBACK,2,M,B,4,01101    0    0    0
1.22,0.616016427,0,0,0,HBACK,3,M,A,4,01101    0    0    0
2.82,0.38329911,0,0,0,STNWG,3,F,C,3,01101    0    0    0
2.13,0.900752909,0,0,0,HDTOP,2,F,A,2,01101    0    0    0
1.01,0.284736482,0,0,0,STNWG,4,M,B,6,01101    0    0    0
1.84,0.616016427,0,0,0,SEDAN,2,F,A,6,01101    0    0    0
3.11,0.38329911,0,0,0,TRUCK,3,M,C,3,01101    0    0    0
0.39,0.616016427,0,0,0,SEDAN,4,M,A,4,01101    0    0    0
1.01,0.093086927,0,0,0,HBACK,3,F,E,1,01101    0    0    0
2.58,0.616016427,0,0,0,STNWG,3,M,C,5,01101    0    0    0
0.51,0.616016427,0,0,0,SEDAN,4,F,A,4,01101    0    0    0
1.02,0.616016427,0,0,0,SEDAN,3,F,C,6,01101    0    0    0
1.63,0.646132786,0,0,0,HBACK,2,F,C,5,01101    0    0    0
0.84,0.616016427,0,0,0,HBACK,3,F,C,4,01101    0    0    0
2.34,0.616016427,0,0,0,HBACK,3,M,C,5,01101    0    0    0
1.86,0.616016427,1,1,238.6400003,SEDAN,2,F,C,3,01101    0    0    0
7.2,0.616016427,0,0,0,SEDAN,3,F,D,6,01101    0    0    0
0.46,0.616016427,0,0,0,STNWG,4,F,A,4,01101    0    0    0
1.66,0.90349076,0,0,0,STNWG,3,F,A,3,01101    0    0    0
3.71,0.76659822,0,0,0,STNWG,1,F,C,3,01101    0    0    0
1.62,0.616016427,0,0,0,STNWG,4,F,F,3,01101    0    0    0
0.58,0.616016427,0,0,0,COUPE,4,F,B,4,01101    0    0    0
3.06,0.616016427,0,0,0,STNWG,3,F,F,4,01101    0    0    0
1.17,0.769336071,0,0,0,SEDAN,3,F,D,1,01101    0    0    0
0.98,0.616016427,0,0,0,SEDAN,3,F,B,3,01101    0    0    0
1.02,0.616016427,0,0,0,HBACK,4,F,B,2,01101    0    0    0
1.4,0.616016427,0,0,0,SEDAN,3,F,A,4,01101    0    0    0
2.97,0.098562628,0,0,0,STNWG,1,M,F,4,01101    0    0    0
1.78,0.618754278,0,0,0,SEDAN,2,F,C,2,01101    0    0    0
0.41,0.344969199,0,0,0,HBACK,4,F,B,3,01101    0    0    0
2.74,0.941820671,0,0,0,STNWG,2,M,C,3,01101    0    0    0
5.299,0.38329911,0,0,0,STNWG,1,F,D,3,01101    0    0    0
1.42,0.254620123,0,0,0,HBACK,1,M,C,3,01101    0    0    0
2.01,0.616016427,0,0,0,HDTOP,3,M,E,5,01101    0    0    0
1.54,0.616016427,1,1,200,STNWG,2,F,B,3,01101    0    0    0
4,0.616016427,0,0,0,STNWG,2,F,A,4,01101    0    0    0
1.3,0.646132786,0,0,0,HBACK,2,M,C,4,01101    0    0    0
1.34,0.1724846,0,0,0,HBACK,2,F,B,3,01101    0    0    0
1.67,0.38329911,0,0,0,STNWG,2,F,E,5,01101    0    0    0
1.88,0.750171116,1,1,369.1799998,PANVN,3,M,D,3,01101    0    0    0
1.03,0.344969199,0,0,0,HBACK,3,F,D,4,01101    0    0    0
1.43,0.229979466,0,0,0,TRUCK,4,M,D,1,01101    0    0    0
0.89,0.684462697,1,1,353.77,SEDAN,3,F,D,3,01101    0    0    0
1.13,0.093086927,0,0,0,STNWG,4,F,B,2,01101    0    0    0
1.9,0.191649555,0,0,0,PANVN,3,M,C,5,01101    0    0    0
2.11,0.87063655,0,0,0,HBACK,2,F,C,3,01101    0    0    0
1.82,0.750171116,0,0,0,UTE,1,M,D,4,01101    0    0    0
0,0.999315537,0,0,0,BUS,3,M,F,5,01101    0    0    0
3.03,0.752908967,0,0,0,STNWG,1,M,D,3,01101    0    0    0
3.7,0.41615332,0,0,0,STNWG,3,M,C,1,01101    0    0    0
2.22,0.391512663,0,0,0,HDTOP,3,F,C,2,01101    0    0    0
2.15,0.646132786,0,0,0,SEDAN,3,F,A,4,01101    0    0    0
0.58,0.646132786,0,0,0,HBACK,4,M,A,3,01101    0    0    0
1.53,0.62696783,0,0,0,STNWG,4,M,A,4,01101    0    0    0
1.55,0.646132786,0,0,0,HBACK,2,F,C,2,01101    0    0    0
1.12,0.646132786,0,0,0,STNWG,4,M,A,3,01101    0    0    0
0.48,0.925393566,0,0,0,HBACK,4,F,A,6,01101    0    0    0
1.67,0.093086927,0,0,0,TRUCK,1,M,B,2,01101    0    0    0
1.02,0.643394935,0,0,0,HBACK,3,M,C,4,01101    0    0    0
1.64,0.249144422,0,0,0,STNWG,4,M,C,3,01101    0    0    0
2.01,0.55578371,0,0,0,TRUCK,3,M,F,5,01101    0    0    0
0.85,0.925393566,0,0,0,HBACK,3,F,B,4,01101    0    0    0
1.42,0.646132786,0,0,0,HBACK,1,F,C,6,01101    0    0    0
2.75,0.249144422,0,0,0,STNWG,3,F,B,3,01101    0    0    0
1.66,0.128678987,0,0,0,SEDAN,2,M,F,3,01101    0    0    0
1.66,0.229979466,0,0,0,SEDAN,3,M,C,5,01101    0    0    0
1.18,0.219028063,0,0,0,STNWG,4,F,B,3,01101    0    0    0
0.95,0.717316906,0,0,0,SEDAN,4,F,C,6,01101    0    0    0
1.77,0.643394935,0,0,0,SEDAN,2,M,C,4,01101    0    0    0
1.3,0.720054757,0,0,0,HBACK,1,F,B,3,01101    0    0    0
0.65,0.785763176,0,0,0,MIBUS,4,F,B,5,01101    0    0    0
0.73,0.906228611,0,0,0,SEDAN,4,M,C,6,01101    0    0    0
1.12,0.503764545,0,0,0,HBACK,2,F,B,1,01101    0    0    0
0.98,0.229979466,0,0,0,HBACK,3,F,E,6,01101    0    0    0
1.399,0.769336071,0,0,0,HBACK,1,F,B,5,01101    0    0    0
1.31,0.199863108,0,0,0,UTE,4,M,C,5,01101    0    0    0
1.76,0.229979466,0,0,0,SEDAN,1,F,E,1,01101    0    0    0
1.42,0.900752909,0,0,0,HBACK,1,F,C,3,01101    0    0    0
0.41,0.229979466,0,0,0,SEDAN,4,F,E,2,01101    0    0    0
4,0.229979466,0,0,0,STNWG,2,M,C,3,01101    0    0    0
1.19,0.093086927,0,0,0,UTE,4,M,B,4,01101    0    0    0
0.47,0.750171116,0,0,0,HBACK,4,F,C,1,01101    0    0    0
2.01,0.027378508,0,0,0,UTE,3,F,F,3,01101    0    0    0
1.55,0.906228611,0,0,0,HDTOP,4,M,D,1,01101    0    0    0
1.45,0.199863108,0,0,0,SEDAN,2,F,D,2,01101    0    0    0
1.2,0.093086927,0,0,0,HBACK,2,M,C,1,01101    0    0    0
1.03,0.229979466,0,0,0,STNWG,3,F,A,1,01101    0    0    0
1.89,0.851471595,0,0,0,STNWG,2,F,A,6,01101    0    0    0
2,0.301163587,0,0,0,SEDAN,1,M,B,4,01101    0    0    0
1.73,0.249144422,0,0,0,SEDAN,2,M,F,3,01101    0    0    0
1.07,0.229979466,0,0,0,SEDAN,3,F,D,2,01101    0    0    0
2.72,0.249144422,0,0,0,SEDAN,1,F,A,3,01101    0    0    0
3.22,0.851471595,0,0,0,UTE,1,M,C,3,01101    0    0    0
0.45,0.235455168,0,0,0,COUPE,4,F,E,4,01101    0    0    0
0.48,0.052019165,0,0,0,SEDAN,4,F,C,6,01101    0    0    0
1.22,0.605065024,0,0,0,HBACK,3,M,C,4,01101    0    0    0
3.19,0.999315537,0,0,0,HBACK,2,F,A,4,01101    0    0    0
2.79,0.377823409,0,0,0,SEDAN,1,F,C,2,01101    0    0    0
0.9,0.851471595,0,0,0,SEDAN,4,M,A,2,01101    0    0    0
6.1,0.249144422,0,0,0,SEDAN,1,M,C,5,01101    0    0    0
4.46,0.191649555,1,1,989.9199982,COUPE,2,M,B,2,01101    0    0    0
4.56,0.648870637,0,0,0,MIBUS,2,M,C,3,01101    0    0    0
1.48,0.199863108,0,0,0,HBACK,1,F,C,5,01101    0    0    0
2.33,0.851471595,0,0,0,SEDAN,2,M,C,5,01101    0    0    0
2.67,0.249144422,0,0,0,STNWG,3,F,D,4,01101    0    0    0
1.59,0.027378508,0,0,0,SEDAN,2,F,A,3,01101    0    0    0
4.32,0.646132786,1,1,736.8499985,STNWG,2,M,A,5,01101    0    0    0
1.05,0.539356605,0,0,0,HBACK,2,M,C,3,01101    0    0    0
1.06,0.925393566,0,0,0,STNWG,3,M,E,4,01101    0    0    0
6.07,0.249144422,0,0,0,STNWG,1,M,E,3,01101    0    0    0
5.59,0.851471595,1,1,369.1499996,STNWG,1,M,C,3,01101    0    0    0
1.44,0.665297741,1,1,500,UTE,4,M,F,2,01101    0    0    0
1.41,0.073921971,0,0,0,HBACK,2,F,C,6,01101    0    0    0
0.47,0.199863108,0,0,0,SEDAN,4,M,A,3,01101    0    0    0
1.84,0.353182752,0,0,0,STNWG,4,F,B,4,01101    0    0    0
2.81,0.851471595,1,1,353.77,STNWG,1,M,C,3,01101    0    0    0
2.55,0.249144422,0,0,0,SEDAN,1,F,C,5,01101    0    0    0
3.01,0.848733744,0,0,0,STNWG,2,M,E,4,01101    0    0    0
1.6,0.249144422,0,0,0,HBACK,2,F,D,4,01101    0    0    0
1.59,0.772073922,0,0,0,PANVN,3,F,D,5,01101    0    0    0
2.01,0.646132786,0,0,0,HDTOP,3,F,D,2,01101    0    0    0
1.43,0.646132786,0,0,0,STNWG,4,F,D,6,01101    0    0    0
0.73,0.402464066,0,0,0,SEDAN,4,F,B,3,01101    0    0    0
0.79,0.235455168,0,0,0,SEDAN,4,F,C,4,01101    0    0    0
1.49,0.353182752,0,0,0,HBACK,2,F,C,4,01101    0    0    0
0.67,0.925393566,0,0,0,SEDAN,4,M,C,5,01101    0    0    0
1.23,0.772073922,0,0,0,HBACK,2,F,A,2,01101    0    0    0
1.67,0.027378508,0,0,0,SEDAN,2,F,E,6,01101    0    0    0
1.26,0.355920602,0,0,0,HBACK,3,F,C,1,01101    0    0    0
3.75,0.646132786,0,0,0,STNWG,2,F,E,3,01101    0    0    0
0.34,0.643394935,0,0,0,SEDAN,4,F,D,4,01101    0    0    0
1.61,0.353182752,0,0,0,HBACK,2,M,B,3,01101    0    0    0
1.41,0.999315537,0,0,0,SEDAN,2,F,A,2,01101    0    0    0
2.95,0.249144422,0,0,0,STNWG,1,F,D,6,01101    0    0    0
1.578,0.851471595,0,0,0,HBACK,1,M,A,4,01101    0    0    0
1.12,0.221765914,0,0,0,HBACK,2,F,B,3,01101    0    0    0
1.36,0.027378508,0,0,0,SEDAN,2,F,C,4,01101    0    0    0
0.92,0.249144422,0,0,0,HBACK,3,F,C,2,01101    0    0    0
0.73,0.851471595,0,0,0,HBACK,3,F,C,1,01101    0    0    0
1.22,0.999315537,0,0,0,HBACK,3,F,E,6,01101    0    0    0
5.65,0.10403833,0,0,0,STNWG,1,M,C,3,01101    0    0    0
3,0.613278576,1,1,6372.029999,STNWG,3,F,C,2,01101    0    0    0
0.54,0.227241615,0,0,0,HBACK,4,F,A,4,01101    0    0    0
1.76,0.199863108,0,0,0,HBACK,1,F,B,5,01101    0    0    0
1.07,0.331279945,0,0,0,STNWG,4,M,B,3,01101    0    0    0
1.14,0.145106092,0,0,0,UTE,4,M,A,2,01101    0    0    0
0.2,0.095824778,0,0,0,HBACK,4,M,A,3,01101    0    0    0
1.51,0.646132786,0,0,0,UTE,3,M,B,3,01101    0    0    0
2.29,0.353182752,1,1,500,STNWG,4,F,F,4,01101    0    0    0
0.39,0.925393566,1,1,1379.039997,SEDAN,4,F,C,6,01101    0    0    0
1.75,0.221765914,0,0,0,HBACK,2,F,B,2,01101    0    0    0
1.31,0.314852841,0,0,0,HBACK,2,F,A,1,01101    0    0    0
0.47,0.391512663,0,0,0,STNWG,4,F,D,3,01101    0    0    0
1.09,0.20807666,0,0,0,HBACK,3,F,C,3,01101    0    0    0
1.3,0.249144422,0,0,0,HBACK,2,F,C,5,01101    0    0    0
1.23,0.772073922,0,0,0,HBACK,2,M,C,1,01101    0    0    0
1.9,0.227241615,0,0,0,SEDAN,1,F,A,4,01101    0    0    0
1.87,0.851471595,0,0,0,HBACK,3,F,A,4,01101    0    0    0
1.17,0.125941136,0,0,0,STNWG,4,M,C,3,01101    0    0    0
